Sample in Buffer,Sample in Window,TRIGGER,axi_imem_araddr[31:0],axi_imem_arvalid,axi_imem_arready,axi_imem_arlen[7:0],axi_imem_rdata[31:0],axi_imem_rvalid,axi_imem_rready,axi_imem_rlast,axi_imem_rresp[1:0],axi_dmem_awaddr[31:0],axi_dmem_awvalid,axi_dmem_awready,axi_dmem_wdata[31:0],axi_dmem_wstrb[3:0],axi_dmem_wvalid,axi_dmem_wlast,axi_dmem_bvalid,axi_dmem_araddr[31:0],axi_dmem_arvalid,axi_dmem_rdata[31:0],axi_dmem_rvalid,uart_rxd,uart_txd,uart_irq,i_scr1/tcm_dmem_addr[31:0],i_scr1/tcm_dmem_wdata[31:0],i_scr1/tcm_dmem_req,i_scr1/tcm_dmem_req_ack,i_scr1/tcm_dmem_cmd,i_scr1/tcm_dmem_width[1:0],i_scr1/tcm_imem_addr[31:0],i_scr1/tcm_imem_rdata[31:0],i_scr1/tcm_imem_req,i_scr1/tcm_imem_req_ack
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,1,ffffe418,0,1,00,c0102673,0,1,0,0,ff010014,0,1,00000000,f,0,1,0,ff010014,0,00000060,0,0,1,0,f0000000,00000000,1,1,1,0,ffffe420,00000000,0,1
